time,ACCESS-CM2,IPSL-CM6A-LR,ACCESS-ESM1-5,CANESM5,MRI-ESM2-0,CESM2-WACCM
2000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0
2001.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0
2002.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0
2003.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0
2004.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0
2005.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0
2006.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0
2007.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0
2008.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0
2009.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0
2010.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0
2011.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0
2012.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0
2013.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0
2014.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0
2015.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0
2016.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0
2017.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0
2018.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0
2019.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0
2020.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0
2021.0,53290557000.0,53809520000.0,54909100000.0,54879785000.0,55645100000.0,53995565000.0
2022.0,53547660000.0,52039836000.0,56255906000.0,52607990000.0,56377827000.0,52074910000.0
2023.0,53420890000.0,51284000000.0,54895090000.0,49877260000.0,56103680000.0,53173750000.0
2024.0,52152340000.0,50346844000.0,51989504000.0,49112453000.0,56304670000.0,51567813000.0
2025.0,51419870000.0,51066098000.0,49360490000.0,49143984000.0,56677770000.0,51371717000.0
2026.0,49969046000.0,51168686000.0,47494627000.0,48020062000.0,56108350000.0,51303588000.0
2027.0,47666123000.0,49374188000.0,44845556000.0,46899577000.0,55462564000.0,50108543000.0
2028.0,46536385000.0,47630524000.0,44246210000.0,45972040000.0,53454434000.0,48762597000.0
2029.0,45933978000.0,46851162000.0,43671843000.0,44115526000.0,52419620000.0,47173333000.0
2030.0,45222090000.0,45131248000.0,42858054000.0,42260130000.0,51845538000.0,45978513000.0
2031.0,44688680000.0,44599296000.0,41724473000.0,41491886000.0,51371303000.0,46543446000.0
2032.0,43881984000.0,44114907000.0,42195624000.0,40401945000.0,50759260000.0,44934630000.0
2033.0,43266750000.0,44418937000.0,43376583000.0,39770866000.0,51170607000.0,43234406000.0
2034.0,42743697000.0,44578120000.0,43600384000.0,38768447000.0,51423863000.0,42492273000.0
2035.0,41298430000.0,44153524000.0,43632840000.0,38083903000.0,52587688000.0,42730760000.0
2036.0,38775615000.0,43050467000.0,44308443000.0,36391584000.0,52367510000.0,42118193000.0
2037.0,37093380000.0,41580036000.0,43603350000.0,34591076000.0,53430580000.0,41043990000.0
2038.0,36033544000.0,41167487000.0,44457886000.0,34095580000.0,54156153000.0,39758320000.0
2039.0,34041223000.0,40511865000.0,44010990000.0,34166700000.0,53349330000.0,39812720000.0
2040.0,32946602000.0,40979227000.0,44239667000.0,34707108000.0,53861368000.0,38938067000.0
2041.0,31815220000.0,39772920000.0,44125220000.0,34135558000.0,52979057000.0,38901674000.0
2042.0,31229426000.0,38604590000.0,43992117000.0,33912110000.0,52735770000.0,40595124000.0
2043.0,29988172000.0,38750704000.0,43910898000.0,33694310000.0,52376097000.0,39648043000.0
2044.0,29667877000.0,37962842000.0,44208677000.0,34519350000.0,52786356000.0,39958598000.0
2045.0,29370049000.0,37919257000.0,45396623000.0,33798270000.0,53843894000.0,39769055000.0
2046.0,29350960000.0,37438740000.0,45047920000.0,33716126000.0,54576670000.0,38613926000.0
2047.0,29073508000.0,38204506000.0,44410847000.0,32698178000.0,53578450000.0,39167394000.0
2048.0,29614248000.0,37756330000.0,44157186000.0,31928281000.0,52963127000.0,38597607000.0
2049.0,29290705000.0,36529830000.0,43376312000.0,31086530000.0,52324220000.0,38431076000.0
2050.0,28673995000.0,36249150000.0,43707470000.0,31018260000.0,51845448000.0,37631260000.0
2051.0,28661953000.0,35851560000.0,43955597000.0,30501165000.0,50076172000.0,38022476000.0
2052.0,28541407000.0,36215374000.0,44230054000.0,29887300000.0,50410520000.0,38032850000.0
2053.0,28953303000.0,35405600000.0,43199910000.0,29744701000.0,50852766000.0,37525426000.0
2054.0,28940943000.0,34783183000.0,42616676000.0,29947228000.0,51304784000.0,37813617000.0
2055.0,28439080000.0,33510650000.0,42571110000.0,29256702000.0,50632840000.0,37716775000.0
2056.0,28775977000.0,32782303000.0,42899943000.0,28840630000.0,51475177000.0,37780890000.0
2057.0,28639560000.0,32204212000.0,42860020000.0,29599298000.0,50981800000.0,36976820000.0
2058.0,27532726000.0,31921435000.0,42609504000.0,29555726000.0,49291297000.0,36253970000.0
2059.0,26857736000.0,31274870000.0,43497590000.0,29738068000.0,47386170000.0,36201243000.0
2060.0,27073565000.0,30166008000.0,42468620000.0,29949571000.0,45306073000.0,36007784000.0
2061.0,27204362000.0,29735242000.0,41141158000.0,29905680000.0,44608307000.0,35298080000.0
2062.0,27031226000.0,29187854000.0,40929900000.0,29781953000.0,43722580000.0,35089500000.0
2063.0,26968936000.0,29459034000.0,39914553000.0,29124510000.0,42499633000.0,34380280000.0
2064.0,27275140000.0,29079400000.0,40222937000.0,28906717000.0,41550066000.0,33821628000.0
2065.0,27245287000.0,28706646000.0,39627410000.0,28667142000.0,41639707000.0,34258856000.0
2066.0,27183804000.0,28602642000.0,37910417000.0,28011190000.0,41779278000.0,34374100000.0
2067.0,26758066000.0,28069507000.0,38113006000.0,26693734000.0,40537300000.0,33725878000.0
2068.0,26286740000.0,27787055000.0,38327222000.0,26184643000.0,40376828000.0,33425596000.0
2069.0,26086797000.0,27047730000.0,37826000000.0,25591067000.0,40465867000.0,33555700000.0
2070.0,25657115000.0,26644150000.0,37668213000.0,25537133000.0,40974480000.0,34699985000.0
2071.0,24876114000.0,26007767000.0,37275480000.0,25693546000.0,40036594000.0,34577048000.0
2072.0,24305754000.0,25045230000.0,37613535000.0,24582787000.0,39348420000.0,33980742000.0
2073.0,23715985000.0,25242098000.0,36990247000.0,23809503000.0,39987196000.0,33145706000.0
2074.0,23424512000.0,24950098000.0,37564838000.0,23362429000.0,40283247000.0,31308077000.0
2075.0,23261810000.0,24470110000.0,37296290000.0,22978900000.0,40273318000.0,30872394000.0
2076.0,22661570000.0,24422353000.0,36957487000.0,22328863000.0,40483828000.0,30207384000.0
2077.0,22283422000.0,24200673000.0,36076163000.0,21768305000.0,40208640000.0,29879464000.0
2078.0,22578665000.0,23844817000.0,35518150000.0,21813424000.0,39626224000.0,28991164000.0
2079.0,22539592000.0,23410820000.0,35377360000.0,22164408000.0,38479663000.0,28299151000.0
2080.0,22820200000.0,23861484000.0,35392205000.0,21825065000.0,37167837000.0,27810585000.0
2081.0,22624360000.0,24133315000.0,34871300000.0,21858742000.0,36829835000.0,27972820000.0
2082.0,22678505000.0,24241205000.0,34071544000.0,21871532000.0,35760410000.0,27558031000.0
2083.0,22646714000.0,25566974000.0,33100569000.0,22155598000.0,34481610000.0,26821114000.0
2084.0,22735776000.0,26142185000.0,32681550000.0,22463550000.0,33781588000.0,26330747000.0
2085.0,22870270000.0,26258582000.0,32334959000.0,21989829000.0,34230632000.0,25788797000.0
