time,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,8724201600000.0,8724201600000.0
2001.0,8694935000000.0,8694935000000.0
2002.0,8667855000000.0,8667855000000.0
2003.0,8648248000000.0,8648248000000.0
2004.0,8617599000000.0,8617599000000.0
2005.0,8600365000000.0,8600365000000.0
2006.0,8598285500000.0,8598285500000.0
2007.0,8570997000000.0,8570997000000.0
2008.0,8530454600000.0,8530454600000.0
2009.0,8494298700000.0,8494298700000.0
2010.0,8455708000000.0,8455708000000.0
2011.0,8412712700000.0,8412712700000.0
2012.0,8379728700000.0,8379728700000.0
2013.0,8353865000000.0,8353865000000.0
2014.0,8331370400000.0,8331370400000.0
2015.0,8291520300000.0,8291520300000.0
2016.0,8254025400000.0,8254025400000.0
2017.0,8214647000000.0,8214647000000.0
2018.0,8195910700000.0,8195910700000.0
2019.0,8169581000000.0,8169581000000.0
2020.0,8132580300000.0,8132580300000.0
2021.0,8096671000000.0,8097497600000.0
2022.0,8050534500000.0,8087728600000.0
2023.0,8044008700000.0,8042176000000.0
2024.0,8005130000000.0,7949084300000.0
2025.0,8006302400000.0,7875160000000.0
2026.0,8009397300000.0,7837434000000.0
2027.0,7970081500000.0,7751056000000.0
2028.0,7914014600000.0,7651121400000.0
2029.0,7867923000000.0,7577170000000.0
2030.0,7855056400000.0,7501807400000.0
2031.0,7838914000000.0,7477760000000.0
2032.0,7812833300000.0,7422692000000.0
2033.0,7755398600000.0,7371851000000.0
2034.0,7727109000000.0,7306905400000.0
2035.0,7706599500000.0,7226116000000.0
2036.0,7668171000000.0,7175921500000.0
2037.0,7630082000000.0,7092587500000.0
2038.0,7578849400000.0,7024934000000.0
2039.0,7559215000000.0,6952187000000.0
2040.0,7484643700000.0,6902524000000.0
2041.0,7435436700000.0,6837436400000.0
2042.0,7341784000000.0,6751635000000.0
2043.0,7280324500000.0,6692766000000.0
2044.0,7265138000000.0,6607947700000.0
2045.0,7238220000000.0,6538946000000.0
2046.0,7205354000000.0,6485617000000.0
2047.0,7153304000000.0,6434530500000.0
2048.0,7103465000000.0,6324233400000.0
2049.0,7040416000000.0,6239638500000.0
2050.0,7010606600000.0,6147915400000.0
2051.0,6938485600000.0,6072996000000.0
2052.0,6844750000000.0,5998210700000.0
2053.0,6775004000000.0,5965147000000.0
2054.0,6684613000000.0,5875796000000.0
2055.0,6595339600000.0,5816472000000.0
2056.0,6489220600000.0,5756264000000.0
2057.0,6409761000000.0,5707365000000.0
2058.0,6338923500000.0,5642775000000.0
2059.0,6233724000000.0,5554197000000.0
2060.0,6151794600000.0,5507269500000.0
2061.0,6056497400000.0,5413189700000.0
2062.0,5945696000000.0,5325505000000.0
2063.0,5833582700000.0,5269714600000.0
2064.0,5697460000000.0,5214633500000.0
2065.0,5590351000000.0,5157890000000.0
2066.0,5502519500000.0,5070631000000.0
2067.0,5376792600000.0,5014872000000.0
2068.0,5212675000000.0,4924230300000.0
2069.0,5087433000000.0,4872534500000.0
2070.0,4936779000000.0,4817272000000.0
2071.0,4821674400000.0,4774177000000.0
2072.0,4729363500000.0,4694489000000.0
2073.0,4630691000000.0,4631791000000.0
2074.0,4527221000000.0,4552560500000.0
2075.0,4421951400000.0,4496262400000.0
2076.0,4278692300000.0,4436698000000.0
2077.0,4139506700000.0,4397277600000.0
2078.0,4070035400000.0,4317495400000.0
2079.0,3947148600000.0,4235277600000.0
2080.0,3814489000000.0,4182284400000.0
2081.0,3688083800000.0,4113637800000.0
2082.0,3600102700000.0,4072428000000.0
2083.0,3458522200000.0,4035941000000.0
2084.0,3318631000000.0,3968246000000.0
2085.0,3179787800000.0,3932926200000.0
2086.0,3050820000000.0,3854377000000.0
2087.0,2924656700000.0,3756227600000.0
2088.0,2820478600000.0,3697901600000.0
2089.0,2726645000000.0,3604134200000.0
2090.0,2593956800000.0,3540084600000.0
2091.0,2503248700000.0,3479095500000.0
2092.0,2416284800000.0,3412740500000.0
2093.0,2349200000000.0,3345836100000.0
2094.0,2267662300000.0,3287827300000.0
2095.0,2161051600000.0,3217462700000.0
2096.0,2075406600000.0,3174975400000.0
2097.0,1997862900000.0,3109288100000.0
2098.0,1914821700000.0,3079568400000.0
2099.0,1831871300000.0,3028077200000.0
2100.0,1723956100000.0,2983774700000.0
