time,MRI-ESM2-0,IPSL-CM6A-LR
2000.0,15331977000000.0,15331977000000.0
2001.0,15299929000000.0,15299929000000.0
2002.0,15270556000000.0,15270556000000.0
2003.0,15204357000000.0,15204357000000.0
2004.0,15101432000000.0,15101432000000.0
2005.0,15055764000000.0,15055764000000.0
2006.0,15014718000000.0,15014718000000.0
2007.0,14999434000000.0,14999434000000.0
2008.0,14959111000000.0,14959111000000.0
2009.0,14906986000000.0,14906986000000.0
2010.0,14824772000000.0,14824772000000.0
2011.0,14746603000000.0,14746603000000.0
2012.0,14711515000000.0,14711515000000.0
2013.0,14685102000000.0,14685102000000.0
2014.0,14671528000000.0,14671528000000.0
2015.0,14636127000000.0,14636127000000.0
2016.0,14646599000000.0,14646599000000.0
2017.0,14612340000000.0,14612340000000.0
2018.0,14596337000000.0,14596337000000.0
2019.0,14631684000000.0,14631684000000.0
2020.0,14547510000000.0,14547510000000.0
2021.0,14460614000000.0,14456276000000.0
2022.0,14494996000000.0,14401565000000.0
2023.0,14432746000000.0,14361334000000.0
2024.0,14326543000000.0,14320632000000.0
2025.0,14214342000000.0,14257934000000.0
2026.0,14131822000000.0,14203825000000.0
2027.0,13988507000000.0,14166923000000.0
2028.0,13950031000000.0,14110091000000.0
2029.0,13847267000000.0,14052200000000.0
2030.0,13772831000000.0,14029586000000.0
2031.0,13668666000000.0,13960951000000.0
2032.0,13560502000000.0,13929395000000.0
2033.0,13487820000000.0,13865176000000.0
2034.0,13364275000000.0,13787601000000.0
2035.0,13295044000000.0,13731016000000.0
2036.0,13118033000000.0,13670363000000.0
2037.0,12959689000000.0,13631754000000.0
2038.0,12866698000000.0,13521105000000.0
2039.0,12855011000000.0,13432388000000.0
2040.0,12825300000000.0,13372132000000.0
2041.0,12722770000000.0,13351061000000.0
2042.0,12602958000000.0,13279181000000.0
2043.0,12530805000000.0,13194659000000.0
2044.0,12502916000000.0,13125833000000.0
2045.0,12404345000000.0,13044062000000.0
2046.0,12293126000000.0,12982465000000.0
2047.0,12049363000000.0,12900009000000.0
2048.0,11895640000000.0,12807884000000.0
2049.0,11740994000000.0,12735400000000.0
2050.0,11544876000000.0,12712954000000.0
2051.0,11446632000000.0,12593351000000.0
2052.0,11323512000000.0,12428804000000.0
2053.0,11194415000000.0,12314593000000.0
2054.0,11094832000000.0,12224432000000.0
2055.0,11010596000000.0,12143624000000.0
2056.0,10855050000000.0,12025370000000.0
2057.0,10772629000000.0,11920250000000.0
2058.0,10614968000000.0,11833716000000.0
2059.0,10511503000000.0,11684252000000.0
2060.0,10372084000000.0,11547246000000.0
2061.0,10235030000000.0,11433627000000.0
2062.0,10126079000000.0,11316732000000.0
2063.0,9951844000000.0,11168836000000.0
2064.0,9839661000000.0,11008080000000.0
2065.0,9781485000000.0,10890358000000.0
2066.0,9689675000000.0,10775840000000.0
2067.0,9596724000000.0,10668742000000.0
2068.0,9439804000000.0,10555571000000.0
2069.0,9405516000000.0,10441010000000.0
2070.0,9293104000000.0,10348092000000.0
2071.0,9149892000000.0,10237883000000.0
2072.0,9074636000000.0,10083493000000.0
2073.0,8982373000000.0,9936771000000.0
2074.0,8919184000000.0,9785863000000.0
2075.0,8829313000000.0,9655415000000.0
2076.0,8682270600000.0,9539823000000.0
2077.0,8632028600000.0,9421694000000.0
2078.0,8526208400000.0,9312718000000.0
2079.0,8351946600000.0,9162274000000.0
2080.0,8259452300000.0,9041564000000.0
2081.0,8214105600000.0,8894004000000.0
2082.0,8105587400000.0,8761896000000.0
2083.0,8054039000000.0,8599708400000.0
2084.0,7960004700000.0,8482400000000.0
2085.0,7802277300000.0,8331209500000.0
2086.0,7636338000000.0,8190240000000.0
2087.0,7480719000000.0,8040137400000.0
2088.0,7363630000000.0,7931829400000.0
2089.0,7268582600000.0,7808668000000.0
2090.0,7194131600000.0,7708545000000.0
2091.0,7097281000000.0,7592797000000.0
2092.0,6952872000000.0,7455343000000.0
2093.0,6884644000000.0,7348204000000.0
2094.0,6858583600000.0,7270567500000.0
2095.0,6804690000000.0,7197346000000.0
2096.0,6703367600000.0,7090255000000.0
2097.0,6618696600000.0,6980650000000.0
2098.0,6547918000000.0,6886518000000.0
2099.0,6483979000000.0,6735324500000.0
2100.0,6387346000000.0,6597123000000.0
