time,TAIESM1,CNRM-CM6-1,MIROC6,CESM2-WACCM,CANESM5,IITM-ESM,MPI-ESM1-2-HR,CNRM-ESM2-1,KACE-1-0-G,UKESM1-0-LL,GFDL-ESM4,MRI-ESM2-0,IPSL-CM6A-LR,EC-EARTH3
2000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0
2001.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0
2002.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0
2003.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0
2004.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0
2005.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0
2006.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0
2007.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0
2008.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0
2009.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0
2010.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0
2011.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0
2012.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0
2013.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0
2014.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0
2015.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0
2016.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0
2017.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0
2018.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0
2019.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0
2020.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0
2021.0,3017795400000.0,3022292800000.0,3017777300000.0,3004507000000.0,2951794700000.0,3049063200000.0,3020078000000.0,3018473900000.0,2990163400000.0,2999055300000.0,3035632500000.0,3021944400000.0,3041415100000.0,2986885300000.0
2022.0,2990077000000.0,3002238200000.0,2989259500000.0,2987452500000.0,2874963700000.0,3033957400000.0,2988292000000.0,2995964000000.0,2954389000000.0,2960957400000.0,3000439700000.0,2984753000000.0,3026690500000.0,2938496600000.0
2023.0,2969486000000.0,2985320800000.0,2928505000000.0,2954636800000.0,2774841000000.0,3045443500000.0,2959272000000.0,2972471800000.0,2894713300000.0,2917673200000.0,2949412300000.0,2940612000000.0,3009746000000.0,2878212400000.0
2024.0,2936628600000.0,2965614600000.0,2901169400000.0,2901098400000.0,2698314500000.0,3041330200000.0,2919447400000.0,2962735500000.0,2859373000000.0,2855809300000.0,2914966300000.0,2889923200000.0,2970879500000.0,2827634000000.0
2025.0,2912949400000.0,2930800600000.0,2887059000000.0,2877865000000.0,2594013200000.0,3049355700000.0,2912458600000.0,2939064000000.0,2831269800000.0,2795028000000.0,2883927000000.0,2858581200000.0,2931620800000.0,2782273200000.0
2026.0,2867339500000.0,2894139000000.0,2866164000000.0,2840473400000.0,2503262600000.0,3029340500000.0,2875033000000.0,2907664500000.0,2775525000000.0,2740482700000.0,2852367600000.0,2830722000000.0,2916615700000.0,2735489700000.0
2027.0,2820749000000.0,2861124600000.0,2845431300000.0,2798682000000.0,2432050400000.0,3010618500000.0,2846538000000.0,2876381300000.0,2717751700000.0,2685627800000.0,2802019500000.0,2772770200000.0,2885716300000.0,2685067000000.0
2028.0,2778947400000.0,2823553500000.0,2800808400000.0,2760429000000.0,2362086000000.0,2981170800000.0,2813290600000.0,2835040000000.0,2678152200000.0,2635050800000.0,2770396500000.0,2735078600000.0,2857853300000.0,2623694200000.0
2029.0,2749099100000.0,2800735000000.0,2760979800000.0,2722324300000.0,2280200000000.0,2978983400000.0,2784081500000.0,2786357100000.0,2662146000000.0,2597875000000.0,2744281200000.0,2686334000000.0,2843452600000.0,2571978400000.0
2030.0,2703825600000.0,2777897500000.0,2725638300000.0,2694617000000.0,2203761200000.0,2964268000000.0,2751230400000.0,2752628400000.0,2589644800000.0,2545239500000.0,2695923500000.0,2657062000000.0,2815510400000.0,2500723200000.0
2031.0,2650079000000.0,2764780000000.0,2704817000000.0,2669134700000.0,2127620200000.0,2950991200000.0,2714487200000.0,2720626400000.0,2540145200000.0,2505642900000.0,2679691300000.0,2616649800000.0,2780600700000.0,2435939800000.0
2032.0,2626530000000.0,2731357500000.0,2667571000000.0,2601705500000.0,2075249100000.0,2955594000000.0,2686767600000.0,2699388800000.0,2495187800000.0,2466383700000.0,2655739000000.0,2566592000000.0,2747032400000.0,2381558600000.0
2033.0,2570633000000.0,2698080700000.0,2622253400000.0,2581389400000.0,1997317200000.0,2950932200000.0,2664944600000.0,2665251600000.0,2431653000000.0,2397696000000.0,2616647200000.0,2524330000000.0,2715379000000.0,2335678700000.0
2034.0,2531094200000.0,2654278300000.0,2590627300000.0,2538005300000.0,1929271600000.0,2938587000000.0,2646422800000.0,2645390800000.0,2408635700000.0,2358526300000.0,2598077000000.0,2489493200000.0,2681110300000.0,2294480000000.0
2035.0,2499120500000.0,2624098100000.0,2556086200000.0,2503516600000.0,1865452200000.0,2928597800000.0,2628753300000.0,2594849000000.0,2372843600000.0,2298532300000.0,2550934500000.0,2449224800000.0,2637061200000.0,2239844000000.0
2036.0,2446783200000.0,2581397500000.0,2526736000000.0,2465989100000.0,1806749900000.0,2885379700000.0,2636112000000.0,2547199000000.0,2326694700000.0,2256971500000.0,2525782900000.0,2400772400000.0,2583934500000.0,2180281400000.0
