time,CANESM5,MRI-ESM2-0,CNRM-ESM2-1,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0
2001.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0
2002.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0
2003.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0
2004.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0
2005.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0
2006.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0
2007.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0
2008.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0
2009.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0
2010.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0
2011.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0
2012.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0
2013.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0
2014.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0
2015.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0
2016.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0
2017.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0
2018.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0
2019.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0
2020.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0
2021.0,2965826000000.0,3012585300000.0,3013197400000.0,3034167000000.0,3007325700000.0
2022.0,2868497400000.0,2985178400000.0,2986376400000.0,3009484700000.0,2961571800000.0
2023.0,2760769000000.0,2922658000000.0,2946922000000.0,2995347500000.0,2922653000000.0
2024.0,2663894000000.0,2876476000000.0,2911205000000.0,2945803000000.0,2877401000000.0
2025.0,2563631200000.0,2833246600000.0,2867186000000.0,2920663000000.0,2827100400000.0
2026.0,2450839800000.0,2801136600000.0,2834889700000.0,2887318800000.0,2765015000000.0
2027.0,2370738300000.0,2745754000000.0,2802335000000.0,2846255700000.0,2718617800000.0
2028.0,2291508000000.0,2699199500000.0,2761533400000.0,2820923500000.0,2669890500000.0
2029.0,2200478200000.0,2646214200000.0,2728292000000.0,2780773700000.0,2616074000000.0
2030.0,2103380300000.0,2607048000000.0,2702337400000.0,2747314200000.0,2554566500000.0
2031.0,2009674800000.0,2571092600000.0,2650678800000.0,2721644300000.0,2499067800000.0
2032.0,1934744900000.0,2534588000000.0,2601145600000.0,2686363400000.0,2440103000000.0
2033.0,1856288300000.0,2483502200000.0,2565533900000.0,2642422500000.0,2379333200000.0
2034.0,1777184500000.0,2437328000000.0,2522563200000.0,2590416600000.0,2307347700000.0
2035.0,1691843800000.0,2390707700000.0,2463778200000.0,2546211000000.0,2247575000000.0
2036.0,1636706200000.0,2340398000000.0,2444461900000.0,2506595200000.0,2192077600000.0
2037.0,1554392800000.0,2295784000000.0,2383828000000.0,2474001000000.0,2129900600000.0
2038.0,1484569700000.0,2239846000000.0,2367653700000.0,2449837000000.0,2076450600000.0
2039.0,1404108900000.0,2168058800000.0,2340316300000.0,2400414300000.0,2009714800000.0
2040.0,1357991800000.0,2126977700000.0,2307212200000.0,2349132200000.0,1957103800000.0
2041.0,1293306200000.0,2071906400000.0,2285945000000.0,2289212300000.0,1907658200000.0
2042.0,1235281400000.0,2026070600000.0,2257776000000.0,2245956500000.0,1846925600000.0
2043.0,1160002100000.0,1958431200000.0,2219169500000.0,2202394200000.0,1787038100000.0
2044.0,1100626400000.0,1893823500000.0,2175975000000.0,2152183400000.0,1731247300000.0
2045.0,1043234300000.0,1850923400000.0,2139393200000.0,2100292200000.0,1685203300000.0
2046.0,987197100000.0,1798314100000.0,2087174500000.0,2033736400000.0,1619743700000.0
2047.0,937448800000.0,1756263400000.0,2058232800000.0,1977730000000.0,1553724200000.0
2048.0,890274200000.0,1701012600000.0,2016262600000.0,1922268000000.0,1500355900000.0
2049.0,840695500000.0,1656977100000.0,1965927000000.0,1875381800000.0,1451138400000.0
2050.0,795869840000.0,1605521100000.0,1932744200000.0,1824101200000.0,1374864000000.0
2051.0,766384800000.0,1568612300000.0,1881740700000.0,1766511900000.0,1327353300000.0
2052.0,728868800000.0,1526937700000.0,1838346700000.0,1726418100000.0,1275246000000.0
2053.0,695559700000.0,1490132400000.0,1788972000000.0,1676589500000.0,1222339500000.0
2054.0,660296000000.0,1456332000000.0,1759139100000.0,1631619500000.0,1181279800000.0
2055.0,629135200000.0,1417558800000.0,1713559400000.0,1586187000000.0,1138826400000.0
2056.0,596576440000.0,1379821300000.0,1676635800000.0,1546451800000.0,1088393700000.0
2057.0,567999660000.0,1345759300000.0,1650347000000.0,1502010700000.0,1047055100000.0
2058.0,546726180000.0,1317581900000.0,1612494800000.0,1468500700000.0,1010278860000.0
2059.0,517406330000.0,1289839600000.0,1586812300000.0,1425984700000.0,975270840000.0
2060.0,496726400000.0,1258876400000.0,1547918900000.0,1372985000000.0,940705250000.0
2061.0,481400360000.0,1229730500000.0,1509576700000.0,1336815400000.0,910228700000.0
2062.0,465107220000.0,1204258300000.0,1474648900000.0,1294069300000.0,879375940000.0
2063.0,448292130000.0,1189925100000.0,1448180400000.0,1257652400000.0,848236700000.0
2064.0,432969450000.0,1168658100000.0,1415605100000.0,1227679500000.0,813852500000.0
2065.0,419232650000.0,1147462400000.0,1383278000000.0,1189721800000.0,791255500000.0
2066.0,407067200000.0,1128666100000.0,1355753800000.0,1159515000000.0,758349370000.0
2067.0,393032900000.0,1120599300000.0,1332514800000.0,1130288600000.0,734205300000.0
2068.0,378107920000.0,1101298900000.0,1313723000000.0,1109954100000.0,717029500000.0
2069.0,364049900000.0,1078646500000.0,1290653700000.0,1088244350000.0,692328330000.0
2070.0,352418530000.0,1065793000000.0,1269007400000.0,1068940900000.0,665419250000.0
2071.0,348620160000.0,1047790100000.0,1247808000000.0,1041174950000.0,639555140000.0
2072.0,339519370000.0,1031998900000.0,1222383600000.0,1018189600000.0,620421100000.0
2073.0,331551640000.0,1017454100000.0,1202371200000.0,997128540000.0,607919340000.0
2074.0,324921820000.0,1006347100000.0,1184077000000.0,979184400000.0,593307000000.0
2075.0,315846920000.0,992871600000.0,1158780300000.0,963123500000.0,567628400000.0
2076.0,308447580000.0,977563940000.0,1145623800000.0,949217500000.0,547708240000.0
2077.0,305444880000.0,974712900000.0,1131244400000.0,932124900000.0,539595740000.0
2078.0,302625820000.0,967008500000.0,1106065500000.0,912032800000.0,528642870000.0
2079.0,296256600000.0,962642050000.0,1085405660000.0,895008500000.0,515776640000.0
2080.0,287978520000.0,954492450000.0,1073375150000.0,879900030000.0,505287930000.0
2081.0,282883900000.0,945926700000.0,1061029000000.0,860485000000.0,491549850000.0
2082.0,274597940000.0,939391450000.0,1054042400000.0,842478450000.0,477416400000.0
2083.0,270905410000.0,932069500000.0,1036185900000.0,830273000000.0,467731220000.0
2084.0,271654270000.0,922016940000.0,1021162550000.0,815260500000.0,455687700000.0
2085.0,268824150000.0,917641600000.0,1008893300000.0,793900800000.0,442426650000.0
2086.0,266632400000.0,910712200000.0,996320940000.0,782203600000.0,435264980000.0
2087.0,264481470000.0,903735600000.0,984121900000.0,767418800000.0,422382170000.0
2088.0,266045080000.0,909097040000.0,966045340000.0,756733840000.0,412502600000.0
2089.0,266693380000.0,907827600000.0,956687450000.0,743606700000.0,407233800000.0
2090.0,262570440000.0,903235760000.0,952473300000.0,736333270000.0,397282020000.0
2091.0,258709000000.0,897930000000.0,942527100000.0,729577100000.0,392134800000.0
2092.0,258916930000.0,897289000000.0,928838100000.0,722904700000.0,386750870000.0
2093.0,255502090000.0,892727700000.0,924368900000.0,711672400000.0,379585040000.0
2094.0,253163700000.0,889750950000.0,918975500000.0,704560040000.0,369143150000.0
2095.0,251051970000.0,890070200000.0,907753400000.0,695570300000.0,360434270000.0
2096.0,248485220000.0,891918200000.0,899759870000.0,690431900000.0,356718380000.0
2097.0,246748330000.0,875031600000.0,901693960000.0,679189540000.0,351810550000.0
2098.0,246663990000.0,871603770000.0,898602900000.0,678671800000.0,340583700000.0
2099.0,248081380000.0,870581670000.0,894069640000.0,674090840000.0,331168320000.0
2100.0,247115710000.0,875672440000.0,887072100000.0,673471600000.0,318642980000.0
