time,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,UKESM1-0-LL
2000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0
2001.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0
2002.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0
2003.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0
2004.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0
2005.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0
2006.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0
2007.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0
2008.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0
2009.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0
2010.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0
2011.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0
2012.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0
2013.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0
2014.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0
2015.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0
2016.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0
2017.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0
2018.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0
2019.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0
2020.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0
2021.0,694060800000.0,711094240000.0,708735800000.0,706228400000.0
2022.0,685581700000.0,718488500000.0,688980160000.0,678047400000.0
2023.0,665360500000.0,705937300000.0,670831350000.0,661982000000.0
2024.0,638788400000.0,693643250000.0,650403200000.0,650264440000.0
2025.0,622441200000.0,664760750000.0,633222500000.0,629629200000.0
2026.0,596839040000.0,658639160000.0,615515700000.0,609232750000.0
2027.0,585203400000.0,645974000000.0,601089900000.0,594143200000.0
2028.0,581633440000.0,630252000000.0,573354200000.0,577700300000.0
2029.0,562368740000.0,627766300000.0,558882750000.0,558640330000.0
2030.0,538771820000.0,616185900000.0,541945400000.0,542290000000.0
2031.0,520133000000.0,603550800000.0,523905760000.0,526525530000.0
2032.0,508063800000.0,592480960000.0,505467540000.0,506841140000.0
2033.0,506141540000.0,590181760000.0,503759930000.0,499674450000.0
2034.0,505146200000.0,572049000000.0,494155960000.0,487484330000.0
2035.0,499886700000.0,557788000000.0,487188960000.0,474961670000.0
